aa	1913489177
ab	15386005538
ac	31993660134
ad	23202347740
ae	1267738358
af	5971635350
ag	18418672749
ah	2649442627
ai	20090957077
aj	862401373
ak	6438563979
al	64032793037
am	22902383711
an	105422467512
ao	969588635
ap	15049927877
aq	882410135
ar	68756067210
as	43550945165
at	80609883139
au	8610622447
av	12702579090
aw	4177879274
ax	1830526601
ay	16749015766
az	1919288786
ba	13622702607
bb	1170784338
bc	851766051
bd	467149365
be	27212687351
bf	218548224
bg	168267558
bh	320626864
bi	8714189475
bj	1355781515
bk	70233089
bl	14155655885
bm	1060633477
bn	353904700
bo	14280375980
bp	443158074
bq	27287934
br	7470955906
bs	4406092091
bt	810975838
bu	11550713430
bv	152346227
bw	197562503
bx	64498535
by	9859174066
bz	57979840
ca	35964886206
cb	460498864
cc	5922990413
cd	1555353527
ce	37978263270
cf	503867826
cg	380593440
ch	34170408619
ci	15114311349
cj	97724802
ck	13780629739
cl	11632840915
cm	789252854
cn	661266058
co	52490369344
cp	943130273
cq	246622061
cr	9927779823
cs	4078415715
ct	28898718663
cu	9565348552
cv	364293955
cw	314285016
cx	70060659
cy	4025081908
cz	141710058
da	23279747379
db	6154952809
dc	4458726250
dd	6513992572
de	46344292825
df	3715422721
dg	2821158761
dh	2800725402
di	33302437545
dj	819560690
dk	500625217
dl	3577701820
dm	4111096663
dn	2569370944
do	17706639517
dp	3534926059
dq	226027310
dr	7792756412
ds	14113090545
dt	10976756096
du	10242237496
dv	3577037604
dw	3860562254
dx	128002023
dy	3212165655
dz	88576018
ea	55939058323
eb	12666048968
ec	39836916955
ed	57514469508
ee	27451934708
ef	14743755990
eg	11512774220
eh	5682274341
ei	16135583953
ej	1155599707
ek	2534125107
el	37931534499
em	29776626954
en	77314896004
eo	14770877724
ep	19436550393
eq	3453509796
er	119214789533
es	97326307798
et	42812689527
eu	4861907859
ev	14977965012
ew	20003014022
ex	13356752941
ey	8418908993
ez	572494203
fa	11428633961
fb	743537251
fc	1841861062
fd	897530021
fe	13440050156
ff	8927389303
fg	650480543
fh	949061474
fi	19753676090
fj	207854544
fk	148461915
fl	4335648043
fm	1242973272
fn	605786093
fo	32748744509
fp	1417227743
fq	59735805
fr	14439772192
fs	2218585525
ft	13171357353
fu	6162102012
fv	260726492
fw	839573399
fx	94629102
fy	1724190100
fz	36509757
ga	14191497542
gb	1366578321
gc	1927221855
gd	1162739419
ge	28502237355
gf	1522326436
gg	1992235463
gh	12038664661
gi	12005990636
gj	158380167
gk	238985937
gl	4011563990
gm	1480461977
gn	4692319436
go	11021593048
gp	1616306418
gq	69240897
gr	12028253431
gs	5910027525
gt	5752080734
gu	5967924547
gv	241097967
gw	1174624262
gx	56198278
gy	2323709882
gz	105114918
ha	41206270659
hb	1037322379
hc	1611390370
hd	1040932622
he	106498528786
hf	943913834
hg	437064808
hh	780236030
hi	34041908708
hj	189902193
hk	202305693
hl	1416667280
hm	1825937267
hn	2670439822
ho	33037260281
hp	1493976373
hq	217009782
hr	4812087922
hs	2518213365
ht	10529516272
hu	3823520600
hv	268620105
hw	1106455831
hx	49621720
hy	2609376360
hz	150561714
ia	19042814662
ib	5903154131
ic	45663138305
id	17905542743
ie	24933647247
if	10654256107
ig	16254923119
ih	828926953
ii	1153899993
ij	413267980
ik	3004540659
il	30603240902
im	15472128922
in	134812613554
io	45866820943
ip	8282654910
iq	714359764
ir	17041448765
is	56531345460
it	60786494374
iu	1065701405
iv	15535972775
iw	937945354
ix	1448111540
iy	121243061
iz	3432225830
ja	4192981909
jb	62340028
jc	107858822
jd	72160777
je	3747477349
jf	37277622
jg	28530574
jh	40926707
ji	483957192
jj	36263263
jk	95237627
jl	41748140
jm	75950627
jn	49314888
jo	4529294446
jp	158759746
jq	2858953
jr	137430055
js	116730486
jt	44567068
ju	4054670856
jv	43025818
jw	34888766
jx	5682177
jy	10880910
jz	8070227
ka	3410386694
kb	920890175
kc	719563902
kd	444574347
ke	14119208748
kf	858798087
kg	471310827
kh	1062473733
ki	8615590792
kj	197923765
kk	212180979
kl	1241504553
km	718788756
kn	2428470642
ko	2259439291
kp	704408597
kq	37052361
kr	740459498
ks	6218068120
kt	2071966322
ku	678961264
kv	137367043
kw	604099193
kx	35373414
ky	961304416
kz	34039551
la	35279652135
lb	3160411900
lc	4046692044
ld	12631807015
le	52533619401
lf	3565589819
lg	1387253469
lh	1181528402
li	45239121467
lj	284682384
lk	1518763585
ll	36610231690
lm	2961674921
ln	1384111140
lo	28357992178
lp	4956631224
lq	111266921
lr	2690464933
ls	13556674443
lt	10910014701
lu	8610377071
lv	1803473089
lw	1550108402
lx	86895575
ly	16052501931
lz	115185658
ma	40261070734
mb	7720936043
mc	1626785459
md	874654976
me	50958591639
mf	978327583
mg	575888276
mh	665327302
mi	19090900236
mj	181720004
mk	156392461
ml	1266359764
mm	7863945051
mn	956700910
mo	21343638917
mp	14257278755
mq	41533036
mr	980047617
ms	8187806253
mt	2714425956
mu	6695170465
mv	242727741
mw	853594935
mx	127278984
my	4121819744
mz	41663902
na	31835157885
nb	3413336523
nc	24737829432
nd	68018862077
ne	48426255131
nf	8729196286
ng	54671896948
nh	2792670858
ni	25359266664
nj	1346516080
nk	5529228890
nl	6853881320
nm	4584364328
nn	7623559267
no	30618138499
np	3592621275
nq	331688568
nr	2550646385
ns	32458807204
nt	71720202984
nu	7465786219
nv	3435172018
nw	2850280693
nx	234953096
ny	7149394479
nz	459403891
oa	8232231588
ob	8520934320
oc	13671886937
od	14558819018
oe	3398500076
of	44948393239
og	9537105190
oh	2835788339
oi	6197247704
oj	1211299844
ok	6337630431
ol	23553044761
om	38270823174
on	100461773921
oo	17541371381
op	19077697278
oq	137285683
or	85998433585
os	19821367131
ot	32419391981
ou	52913816186
ov	11763317241
ow	19972624694
ox	1680672450
oy	3224756847
oz	450998032
pa	24898597250
pb	553313511
pc	1449681886
pd	1487379715
pe	25126480018
pf	750300132
pg	575977478
ph	7561343147
pi	9629601171
pj	75706008
pk	167240984
pl	17001616925
pm	3267674878
pn	411327563
po	23703275501
pp	9875069347
pq	102094564
pr	31268978905
ps	4936994208
pt	6901392028
pu	7257174438
pv	186219865
pw	465388310
px	87171181
py	2064349214
pz	51530668
qa	117748793
qb	25058796
qc	52341229
qd	28407229
qe	25297860
qf	42521152
qg	15295164
qh	29313112
qi	99281600
qj	6944827
qk	8123073
ql	207584203
qm	34592319
qn	28847084
qo	25047812
qp	35805858
qq	16554628
qr	82307906
qs	135719258
qt	92435217
qu	8281405449
qv	15697108
qw	38662144
qx	7684606
qy	6901470
qz	4293975
ra	46135420707
rb	3838019263
rc	14278737404
rd	14380342944
re	108669181717
rf	4407369994
rg	6774701154
rh	2300596181
ri	48154583840
rj	467618387
rk	7673324341
rl	6736958349
rm	13536350081
rn	11557521313
ro	46608666502
rp	5964174774
rq	276576452
rr	8457557665
rs	31498209240
rt	31174956946
ru	8479995978
rv	7048825612
rw	3123939253
rx	177324040
ry	16071337298
rz	271040922
sa	31138171773
sb	5554765729
sc	16886526539
sd	4313766677
se	58165976437
sf	6792861643
sg	2246645063
sh	21322806441
si	41483080358
sj	678346544
sk	3854517035
sl	5977618166
sm	7051919359
sn	4581713888
so	31467005438
sp	17010851034
sq	750514602
sr	4378996072
ss	31081241798
st	78728300226
su	18318104818
sv	1317445135
sw	7312275570
sx	243932875
